Designator,Mid X,Mid Y,Layer,Rotation,Comment,Footprint,Description
R9_A_IN_2,24.257,25.273,TopLayer,0,470K,RES_ERJ3EKF4703V,
R7_A_IN_1,44.958,51.726,TopLayer,90,470K,RES_ERJ3EKF4703V,
R7_A_IN_2,45.029,39.1289,TopLayer,90,470K,RES_ERJ3EKF4703V,
R32,58.6421,57.0455,TopLayer,270,CRGS0603J10K,RESC1608X50N,CRGS0603 Anti-Surge Resistor 5% 10K
R31,57.912,51.308,TopLayer,0,CRGS0603J10K,RESC1608X50N,CRGS0603 Anti-Surge Resistor 5% 10K
R30,59.055,45.847,TopLayer,270,CRGS0603J10K,RESC1608X50N,CRGS0603 Anti-Surge Resistor 5% 10K
M*1_H1,13.081,16.2529,TopLayer,90,Haptic Motor,HDR1X2,"Header, 2-Pin"
M*1_H2,19.177,16.2529,TopLayer,90,Haptic Motor,HDR1X2,"Header, 2-Pin"
M*1_H3,25.311,16.2529,TopLayer,90,Haptic Motor,HDR1X2,"Header, 2-Pin"
M*1_H4,31.407,16.2529,TopLayer,90,Haptic Motor,HDR1X2,"Header, 2-Pin"
M*1_H5,37.503,16.2529,TopLayer,90,Haptic Motor,HDR1X2,"Header, 2-Pin"
M*1_H6,43.58,16.2529,TopLayer,90,Haptic Motor,HDR1X2,"Header, 2-Pin"
M*1_H7,49.803,16.2529,TopLayer,90,Haptic Motor,HDR1X2,"Header, 2-Pin"
M*1_H8,56.007,16.2529,TopLayer,90,Haptic Motor,HDR1X2,"Header, 2-Pin"
P1,33.6736,64.8512,TopLayer,0,Header 20X2,HDR2X20,"Header, 20-Pin, Dual row"
P3,63.246,53.213,TopLayer,90,Header 4X2,HDR2X4,"Header, 4-Pin, Dual row"
P2,63.373,31.496,TopLayer,270,Header 8,HDR1X8,"Header, 8-Pin"
MK1_A_IN_1,5.098,47.5653,TopLayer,0,Mic2,PIN2,Microphone
MK1_A_IN_2,5.098,28.1162,TopLayer,0,Mic2,PIN2,Microphone
MK4_A_IN_1,5.098,42.703,TopLayer,0,Mic2,PIN2,Microphone
MK2_A_IN_1,5.098,57.2899,TopLayer,0,Mic2,PIN2,Microphone
MK3_A_IN_1,5.098,52.4276,TopLayer,0,Mic2,PIN2,Microphone
